statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
21,21,35,28,XGB,fs3,AC,0.606383,21.200000,0.561158,27.200000,32.800000,0.604717,0.146916,0.156309,0.219944,0.216224,0.250415,0.706861,29.333333,0.457801,-0.073028,0.457801,0.073028,True,False,False,False,Possible overfitting,20.000000,2.000000,44.000000,32.000000,32.000000,36.000000,22.000000,19,20.900000,19,21.800000,19,19.000000,19.000000,19.000000,19.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,19.264000,20.000000,2,33,31,7.499503,0,0.000000,16,0.016000,Unstable selection,21.500000,15,18.800000,19,XGB_fs3_AC.pkl
22,22,27,25,EN,fs1,AC,0.553191,23.200000,0.803002,23.600000,26.600000,0.362919,0.133752,0.308437,0.236075,0.201520,0.247812,0.715526,32.000000,0.229167,-0.102324,0.229167,0.102324,True,True,True,False,Possible underfitting,22.000000,32.000000,18.000000,27.000000,27.000000,25.000000,24.000000,28,22.900000,23,23.800000,25,25.333333,25.000000,23.000000,28.000000,5.000000,2.516611,0,0.000000,Unstable selection,22.320000,23.000000,17,31,14,2.903796,0,0.000000,0,0.000000,Unstable selection,24.450000,22,22.000000,22,EN_fs1_AC.pkl
23,23,31,35,EN,fs3,AC,0.547872,23.400000,0.741426,29.800000,29.800000,0.423737,0.157000,0.402999,0.228820,0.204313,0.248986,0.752510,36.000000,0.266737,-0.071820,0.266737,0.071820,True,False,True,False,Overfitting with high CV instability,18.000000,40.000000,23.000000,30.000000,30.000000,29.000000,27.000000,32,22.050000,20,26.100000,30,27.333333,30.000000,20.000000,32.000000,12.000000,6.429101,0,0.000000,Unstable selection,22.422000,22.000000,15,35,20,4.246168,0,0.000000,0,0.000000,Unstable selection,26.000000,24,23.700000,24,EN_fs3_AC.pkl
23,23,13,21,ANN,fs1,AC,0.547872,23.400000,0.788632,21.000000,13.400000,0.352495,0.128617,0.298669,0.305454,0.180528,0.236291,0.720379,46.666667,0.223879,-0.176837,0.223879,0.176837,True,True,True,False,Possible underfitting,24.000000,30.000000,15.000000,15.000000,15.000000,7.000000,23.000000,24,23.550000,25,23.100000,24,24.333333,24.000000,24.000000,25.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,23.265000,24.000000,16,31,15,3.352912,0,0.000000,0,0.000000,Unstable selection,25.600000,23,23.300000,23,ANN_fs1_AC.pkl
25,25,3,30,RF,fs2,AC,0.542553,23.600000,0.684827,27.200000,4.000000,0.524173,0.133119,0.200311,0.406491,0.190020,0.218429,0.816989,34.666667,0.391054,-0.273372,0.391054,0.273372,True,False,True,False,Overfitting with high CV instability,23.000000,11.000000,38.000000,2.000000,2.000000,12.000000,24.000000,28,23.450000,24,23.900000,26,26.000000,26.000000,24.000000,28.000000,4.000000,2.000000,0,0.000000,Unstable selection,23.708000,25.000000,12,32,20,4.174945,0,0.000000,0,0.000000,Unstable selection,27.275000,26,25.400000,25,RF_fs2_AC.pkl
26,26,18,2,GBR,fs4,AC,0.537234,23.800000,0.521348,5.400000,18.800000,0.193272,0.034623,0.169602,0.264138,0.190638,0.243218,0.607959,41.333333,0.158649,-0.229515,0.158649,0.229515,False,True,False,False,Possible underfitting,36.000000,6.000000,5.000000,20.000000,20.000000,14.000000,15.666667,8,26.850000,27,17.700000,12,15.666667,12.000000,8.000000,27.000000,19.000000,10.016653,0,0.000000,Unstable selection,24.386000,25.000000,16,30,14,3.147525,0,0.000000,0,0.000000,Unstable selection,26.075000,25,25.600000,26,GBR_fs4_AC.pkl
27,27,37,39,DT,fs1,AC,0.478723,26.000000,0.739895,34.800000,37.200000,0.422929,0.146963,0.448499,0.129434,0.221557,0.264544,0.745939,26.666667,0.275966,0.017529,0.275966,0.017529,True,False,True,False,Overfitting with high CV instability,19.000000,45.000000,28.000000,37.000000,37.000000,38.000000,30.666667,36,24.250000,26,29.500000,34,32.000000,34.000000,26.000000,36.000000,10.000000,5.291503,0,0.000000,Unstable selection,26.850000,26.000000,18,37,19,3.797093,0,0.000000,0,0.000000,Unstable selection,27.350000,27,27.000000,27,DT_fs1_AC.pkl
28,28,38,3,ANN,fs4,AC,0.436170,27.600000,0.610248,10.800000,38.200000,0.194180,0.026112,0.220790,0.092457,0.223634,0.270104,0.631720,32.000000,0.168068,-0.066345,0.168068,0.066345,False,True,True,False,Possible underfitting,38.000000,18.000000,6.000000,38.000000,38.000000,39.000000,20.666667,17,30.200000,30,22.400000,21,22.666667,21.000000,17.000000,30.000000,13.000000,6.658328,0,0.000000,Unstable selection,29.570000,30.000000,22,37,15,3.295142,0,0.000000,0,0.000000,Unstable selection,27.525000,28,28.000000,28,ANN_fs4_AC.pkl
29,29,14,40,RF,fs3,AC,0.382979,29.600000,0.732532,36.200000,14.000000,0.769915,0.112921,0.231231,0.278431,0.179728,0.240844,0.784589,48.000000,0.656994,-0.165510,0.656994,0.165510,True,False,True,False,Overfitting with high CV instability,27.000000,20.000000,47.000000,16.000000,16.000000,6.000000,31.333333,37,28.950000,28,30.900000,37,34.000000,37.000000,28.000000,37.000000,9.000000,5.196152,0,0.000000,Unstable selection,30.779000,30.000000,23,39,16,3.784770,0,0.000000,0,0.000000,Unstable selection,27.925000,30,29.400000,29,RF_fs3_AC.pkl
30,30,39,16,XGB,fs4,AC,0.377660,29.800000,0.591315,19.000000,39.800000,0.246696,-0.042324,0.155931,0.046792,0.232357,0.276816,0.628971,29.333333,0.289020,-0.089116,0.289020,0.089116,True,True,False,False,Possible underfitting,39.000000,1.000000,31.000000,39.000000,39.000000,43.000000,23.666667,25,32.100000,34,25.200000,29,29.333333,29.000000,25.000000,34.000000,9.000000,4.509250,0,0.000000,Unstable selection,32.053000,32.000000,17,41,24,4.596011,0,0.000000,0,0.000000,Unstable selection,30.375000,33,31.200000,31,XGB_fs4_AC.pkl
