task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs4,KNN,4,Ucs_class,0.2942919642108741,10.608319517241997,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
regression,AC,fs4,LASSO,1,Distance,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,LASSO,2,Depth,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,LASSO,3,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,LASSO,4,PI,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,MLR,1,PI,0.2669477270107653,63.45594748243784,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,MLR,2,Depth,0.1393403379661638,33.12248906247274,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,MLR,3,Distance,0.013952572852379,3.3166558115317804,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,MLR,4,Ucs_class,0.0004413275367374,0.1049076435576252,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,RF,1,Depth,0.8399028151560544,60.78370971664278,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RF,2,Distance,0.3636950086514842,26.32058308693281,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RF,3,PI,0.1732516988159352,12.538213682241782,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RF,4,Ucs_class,0.0049398072339078,0.3574935141826325,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,1,PI,0.1495230953358174,52.95467562722457,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,2,Depth,0.1049128569390622,37.155640042469344,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,3,Distance,0.0202370659647526,7.16710192096668,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,4,Ucs_class,0.0076874977389529,2.7225824093394024,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,SVR,1,PI,0.3394532276200702,39.36596034593025,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,SVR,2,Distance,0.288549298329022,33.462696217399795,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,SVR,3,Depth,0.1605132790364342,18.61452142271488,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,SVR,4,Ucs_class,0.0737855961161076,8.556822013955074,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,XGB,1,Depth,0.8113851925538528,68.03145336044048,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
regression,AC,fs4,XGB,2,Distance,0.2343862923041637,19.652367654169325,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
regression,AC,fs4,XGB,3,PI,0.1441841283134807,12.089271397472894,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
regression,AC,fs4,XGB,4,Ucs_class,0.0027062402435936,0.2269075879172768,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
classification,AC,fs1,ANN,1,PI/FF,0.2942779175142115,42.16699492416117,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,ANN,2,Depth,0.2220392594513193,31.815939182035752,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,ANN,3,Distance,0.1304882072445617,18.69761625004908,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,ANN,4,Ucs_class,0.0510814774063939,7.319449643754007,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,DT,1,Depth,0.3383485681604211,43.20228818882987,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,DT,2,PI/FF,0.3114848617521596,39.77217588665643,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,DT,3,Distance,0.1333393656614799,17.025535924513704,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,DT,4,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,ET,1,Depth,0.327834342503965,35.52240067701042,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,ET,2,PI/FF,0.2954066194549497,32.008703599419114,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,ET,3,Distance,0.1901794558226478,20.606843013056785,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,ET,4,Ucs_class,0.1094742522178517,11.862052710513671,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,GBC,1,Depth,0.3348277864618599,54.20349487924189,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\GBC_permutation_sensitivity.csv
