task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
classification,AC,fs2,KNN,2,FF,0.4585005536792578,41.19506407812209,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\KNN_permutation_sensitivity.csv
classification,AC,fs2,KNN,3,Ucs_class,0.1914160716791755,17.198228606550924,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\KNN_permutation_sensitivity.csv
classification,AC,fs2,LOGREG,1,FF,0.1950081676539291,52.261491753983385,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\LOGREG_permutation_sensitivity.csv
classification,AC,fs2,LOGREG,2,PI,0.1778568374701484,47.66499658276462,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\LOGREG_permutation_sensitivity.csv
classification,AC,fs2,LOGREG,3,Ucs_class,-0.0002743009101126,0.0735116632519865,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\LOGREG_permutation_sensitivity.csv
classification,AC,fs2,RF,1,PI,0.4341093393323447,45.61143149583914,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\RF_permutation_sensitivity.csv
classification,AC,fs2,RF,2,FF,0.3650903392212683,38.35967459901829,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\RF_permutation_sensitivity.csv
classification,AC,fs2,RF,3,Ucs_class,0.1525558903807798,16.028893905142564,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\RF_permutation_sensitivity.csv
classification,AC,fs2,SVC,1,FF,0.204764858297667,51.47730557663226,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\SVC_permutation_sensitivity.csv
classification,AC,fs2,SVC,2,PI,0.1885296229518399,47.39581338137111,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\SVC_permutation_sensitivity.csv
classification,AC,fs2,SVC,3,Ucs_class,0.0044824730878593,1.1268810419966355,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\SVC_permutation_sensitivity.csv
classification,AC,fs2,XGB,1,PI,0.4754950298862012,48.80099499729974,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\XGB_permutation_sensitivity.csv
classification,AC,fs2,XGB,2,FF,0.4398860270545967,45.14637263571615,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\XGB_permutation_sensitivity.csv
classification,AC,fs2,XGB,3,Ucs_class,0.0589741378918308,6.052632366984116,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs2\XGB_permutation_sensitivity.csv
classification,AC,fs3,ANN,1,FF,0.2228928130772328,41.40302306282509,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
classification,AC,fs3,ANN,2,LL,0.1823900253079397,33.87950611775568,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
classification,AC,fs3,ANN,3,PL,0.0924076949971352,17.165012520269993,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
classification,AC,fs3,ANN,4,Ucs_class,0.0406585932962305,7.55245829914921,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
classification,AC,fs3,DT,1,FF,0.3828189612803915,38.43412906908783,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
classification,AC,fs3,DT,2,LL,0.3786414941980243,38.01472113671019,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
classification,AC,fs3,DT,3,PL,0.2345786653567399,23.55114979420197,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
classification,AC,fs3,DT,4,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
classification,AC,fs3,ET,1,FF,0.4083843630939641,32.20843232703143,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
classification,AC,fs3,ET,2,LL,0.3362157233223229,26.516640573281084,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
